|      | Madvare                                                                 | Kategori                                   | Enhed                                                 | Konverteringsfaktor   |
| 1151 | Kirsebær, rå                                                            | Frugt og bær                               | dl                                                    | 60                    |
| 1152 | Kiwi, rå, skive, tyk 0,5 cm                                             | Frugt og bær                               | dl                                                    | 70                    |
| 1153 | Kvæde, æblekvæde, rå                                                    | Frugt og bær                               | lille                                                 | 120                   |
| 1154 | Mango, rå                                                               | Frugt og bær                               | lille                                                 | 150                   |
| 1155 | Melon, Cantaloupe, rå                                                   | Frugt og bær                               | lille                                                 | 130                   |
| 1156 | Melon, honning, rå                                                      | Frugt og bær                               | lille                                                 | 140                   |
| 1157 | Melon, net/Galia, rå                                                    | Frugt og bær                               | lille                                                 | 125                   |
| 1158 | Melon, Piel de Sapo, rå (frømelon)                                      | Frugt og bær                               | lille                                                 | 150                   |
| 1159 | Melon, vand, rå                                                         | Frugt og bær                               | lille                                                 | 460                   |
| 1160 | Nektarin, rå                                                            | Frugt og bær                               | lille                                                 | 90                    |
| 1161 | Pære, rå                                                                | Frugt og bær                               | lille                                                 | 65                    |
| 1162 | Rabarber, rå                                                            | Frugt og bær                               | lille                                                 | 45                    |
| 1163 | Kvæde, æblekvæde, rå                                                    | Frugt og bær                               | mellem                                                | 185                   |
| 1164 | Lime, rå                                                                | Frugt og bær                               | mellem                                                | 65                    |
| 1165 | Lime, rå, saft af 1 frugt                                               | Frugt og bær                               | mellem                                                | 35                    |
| 1166 | Litchi (Lychee), rå                                                     | Frugt og bær                               | mellem                                                | 15                    |
| 1167 | Loquat (japansk mispel), rå                                             | Frugt og bær                               | mellem                                                | 13                    |
| 1168 | Mandarin, konserves, båd                                                | Frugt og bær                               | mellem                                                | 3                     |
| 1169 | Mandarin, rå                                                            | Frugt og bær                               | mellem                                                | 50                    |
| 1170 | Mango, rå                                                               | Frugt og bær                               | mellem                                                | 205                   |
| 1171 | Mango, rå, skive                                                        | Frugt og bær                               | mellem                                                | 40                    |
| 1172 | Melon, Cantaloupe, rå                                                   | Frugt og bær                               | mellem                                                | 280                   |
| 1173 | Melon, honning, rå                                                      | Frugt og bær                               | mellem                                                | 370                   |
| 1174 | Melon, honning, rå, skive                                               | Frugt og bær                               | mellem                                                | 65                    |
| 1175 | Melon, honning, rå, tern                                                | Frugt og bær                               | mellem                                                | 8                     |
| 1176 | Melon, net/Galia, rå                                                    | Frugt og bær                               | mellem                                                | 275                   |
| 1177 | Melon, vand, rå                                                         | Frugt og bær                               | mellem                                                | 690                   |
| 1178 | Nektarin, rå                                                            | Frugt og bær                               | mellem                                                | 115                   |
| 1179 | Papaya, rå                                                              | Frugt og bær                               | mellem                                                | 270                   |
| 1180 | Passionsfrugt, rå                                                       | Frugt og bær                               | mellem                                                | 18                    |
| 1181 | Pære, konserves, ½ frugt                                                | Frugt og bær                               | mellem                                                | 45                    |
| 1182 | Pære, rå                                                                | Frugt og bær                               | mellem                                                | 105                   |
| 1183 | Pære, tørret, ½ frugt                                                   | Frugt og bær                               | mellem                                                | 18                    |
| 1184 | Rabarber, rå                                                            | Frugt og bær                               | mellem                                                | 100                   |
| 1185 | Ribs, rå                                                                | Frugt og bær                               | mellem                                                | 0.7                   |
| 1186 | Rosin                                                                   | Frugt og bær                               | mellem                                                | 0.4                   |
| 1187 | Rosin                                                                   | Frugt og bær                               | mellem                                                | 30                    |
| 1188 | Solbær, rå                                                              | Frugt og bær                               | mellem                                                | 0.4                   |
| 1189 | Stikkelsbær, rå                                                         | Frugt og bær                               | mellem                                                | 3                     |
| 1190 | Kvæde, æblekvæde, rå                                                    | Frugt og bær                               | stor                                                  | 300                   |
| 1191 | Mango, rå                                                               | Frugt og bær                               | stor                                                  | 240                   |
| 1192 | Melon, Cantaloupe, rå                                                   | Frugt og bær                               | stor                                                  | 410                   |
| 1193 | Melon, honning, rå                                                      | Frugt og bær                               | stor                                                  | 690                   |
| 1194 | Melon, net/Galia, rå                                                    | Frugt og bær                               | stor                                                  | 600                   |
| 1195 | Melon, vand, rå                                                         | Frugt og bær                               | stor                                                  | 1600                  |
| 1196 | Nektarin, rå                                                            | Frugt og bær                               | stor                                                  | 180                   |
| 1197 | Pære, rå                                                                | Frugt og bær                               | stor                                                  | 170                   |
| 1198 | Rabarber, rå                                                            | Frugt og bær                               | stor                                                  | 150                   |
| 1199 | Mandarin, konserves, båd                                                | Frugt og bær                               | dl                                                    | 85                    |
| 1200 | Mandarin, rå                                                            | Frugt og bær                               | dl                                                    | 90                    |
| 1201 | Mango, rå                                                               | Frugt og bær                               | dl                                                    | 70                    |
| 1202 | Melon, honning, rå, tern                                                | Frugt og bær                               | dl                                                    | 70                    |
| 1203 | Papaya, rå                                                              | Frugt og bær                               | dl                                                    | 60                    |
| 1204 | Passionsfrugt, rå                                                       | Frugt og bær                               | dl                                                    | 97                    |
| 1205 | Pære, konserves, ½ frugt                                                | Frugt og bær                               | dl                                                    | 110                   |
| 1206 | Pære, rå                                                                | Frugt og bær                               | dl                                                    | 70                    |
| 1207 | Pære, tørret, ½ frugt                                                   | Frugt og bær                               | dl                                                    | 75                    |
| 1208 | Rabarber, rå                                                            | Frugt og bær                               | dl                                                    | 50                    |
| 1209 | Ribs, rå                                                                | Frugt og bær                               | dl                                                    | 50                    |
| 1210 | Rosin                                                                   | Frugt og bær                               | dl                                                    | 60                    |
| 1211 | Solbær, rå                                                              | Frugt og bær                               | dl                                                    | 50                    |
| 1212 | Stikkelsbær, rå                                                         | Frugt og bær                               | dl                                                    | 60                    |
| 1213 | Æble, rå                                                                | Frugt og bær                               | lille                                                 | 55                    |
| 1214 | Sveske                                                                  | Frugt og bær                               | mellem                                                | 8                     |
| 1215 | Tranebær, tørrede                                                       | Frugt og bær                               | mellem                                                | 1                     |
| 1216 | Vindrue, rå                                                             | Frugt og bær                               | mellem                                                | 5.5                   |
| 1217 | Vindrue, stenfri, rå                                                    | Frugt og bær                               | mellem                                                | 4                     |
| 1218 | Æble, rå                                                                | Frugt og bær                               | mellem                                                | 110                   |
| 1219 | Æble, tørret, ring                                                      | Frugt og bær                               | mellem                                                | 5                     |
| 1220 | Æble, rå                                                                | Frugt og bær                               | stor                                                  | 165                   |
| 1221 | Sveske                                                                  | Frugt og bær                               | dl                                                    | 75                    |
| 1222 | Tranebær, rå                                                            | Frugt og bær                               | dl                                                    | 40                    |
| 1223 | Tranebær, tørrede                                                       | Frugt og bær                               | dl                                                    | 50                    |
| 1224 | Tyttebær, rå                                                            | Frugt og bær                               | dl                                                    | 60                    |
| 1225 | Vindrue, rå                                                             | Frugt og bær                               | dl                                                    | 70                    |
| 1226 | Æble, rå                                                                | Frugt og bær                               | dl                                                    | 45                    |
| 1227 | Æble, tørret, ring                                                      | Frugt og bær                               | dl                                                    | 25                    |
| 1228 | Hørfrø, rå                                                              | Nødder, frø og kerner                      | lille                                                 | 3                     |
| 1229 | Kokosmel                                                                | Nødder, frø og kerner                      | lille                                                 | 1.5                   |
| 1230 | Sesamfrø, afskallede, tørrede                                           | Nødder, frø og kerner                      | lille                                                 | 3                     |
| 1231 | Solsikkefrø, afskallede, tørrede                                        | Nødder, frø og kerner                      | lille                                                 | 2.5                   |
| 1232 | Cashewnød, tørristet                                                    | Nødder, frø og kerner                      | mellem                                                | 1                     |
| 1233 | Hasselnød, uden skal                                                    | Nødder, frø og kerner                      | mellem                                                | 1                     |
| 1234 | Hasselnød, hakkede                                                      | Nødder, frø og kerner                      | mellem                                                | 7                     |
| 1235 | Hørfrø, rå                                                              | Nødder, frø og kerner                      | mellem                                                | 9                     |
| 1236 | Jordnød, ristet og saltet (peanuts)                                     | Nødder, frø og kerner                      | mellem                                                | 0.7                   |
| 1237 | Jordnød, tørret, med skal                                               | Nødder, frø og kerner                      | mellem                                                | 0.5                   |
| 1238 | Kastanje, ristet, spiseklar                                             | Nødder, frø og kerner                      | mellem                                                | 8                     |
| 1239 | Kastanje, ægte, rå                                                      | Nødder, frø og kerner                      | mellem                                                | 10                    |
| 1240 | Kokosmel                                                                | Nødder, frø og kerner                      | mellem                                                | 5                     |
| 1241 | Kokosnød, 1 stykke, 5x5x1,3 cm                                          | Nødder, frø og kerner                      | mellem                                                | 45                    |
| 1242 | Kokosnød, hel, rå                                                       | Nødder, frø og kerner                      | mellem                                                | 270                   |
| 1243 | Macadamianød, tørret                                                    | Nødder, frø og kerner                      | mellem                                                | 1.7                   |
| 1244 | Mandel, rå                                                              | Nødder, frø og kerner                      | mellem                                                | 1                     |
| 1245 | Mandel, rå, hakkede                                                     | Nødder, frø og kerner                      | mellem                                                | 6                     |
| 1246 | Paranød, rå, uden skal                                                  | Nødder, frø og kerner                      | mellem                                                | 3                     |
| 1247 | Pecannød, uden skal (2/2)                                               | Nødder, frø og kerner                      | mellem                                                | 4                     |
| 1248 | Pinjefrø, tørrede                                                       | Nødder, frø og kerner                      | mellem                                                | 0.15                  |
| 1249 | Pistacienød, med skal                                                   | Nødder, frø og kerner                      | mellem                                                | 1.5                   |
| 1250 | Pistacienød, uden skal                                                  | Nødder, frø og kerner                      | mellem                                                | 0.8                   |
| 1251 | Sesamfrø, afskallede, tørrede                                           | Nødder, frø og kerner                      | mellem                                                | 8                     |
| 1252 | Solsikkefrø, afskallede, tørrede                                        | Nødder, frø og kerner                      | mellem                                                | 8                     |
| 1253 | Valnød, uden skal (2/2)                                                 | Nødder, frø og kerner                      | mellem                                                | 4                     |
| 1254 | Valnødder, hakkede, 1 spsk.                                             | Nødder, frø og kerner                      | mellem                                                | 8                     |
| 1255 | Hasselnød, uden skal                                                    | Nødder, frø og kerner                      | dl                                                    | 60                    |
| 1256 | Hasselnød, hakkede                                                      | Nødder, frø og kerner                      | dl                                                    | 50                    |
| 1257 | Hørfrø, rå                                                              | Nødder, frø og kerner                      | dl                                                    | 60                    |
| 1258 | Jordnød, ristet og saltet (peanuts)                                     | Nødder, frø og kerner                      | dl                                                    | 60                    |
| 1259 | Kastanje, ægte, rå                                                      | Nødder, frø og kerner                      | dl                                                    | 70                    |
| 1260 | Kokosmel                                                                | Nødder, frø og kerner                      | dl                                                    | 35                    |
| 1261 | Mandel, rå                                                              | Nødder, frø og kerner                      | dl                                                    | 60                    |
| 1262 | Mandel, rå, hakkede                                                     | Nødder, frø og kerner                      | dl                                                    | 40                    |
| 1263 | Paranød, rå, uden skal                                                  | Nødder, frø og kerner                      | dl                                                    | 70                    |
| 1264 | Pinjefrø, tørrede                                                       | Nødder, frø og kerner                      | dl                                                    | 55                    |
| 1265 | Pistacienød, med skal                                                   | Nødder, frø og kerner                      | dl                                                    | 48                    |
| 1266 | Pistacienød, uden skal                                                  | Nødder, frø og kerner                      | dl                                                    | 25                    |
| 1267 | Sesamfrø, afskallede, tørrede                                           | Nødder, frø og kerner                      | dl                                                    | 55                    |
| 1268 | Solsikkefrø, afskallede, tørrede                                        | Nødder, frø og kerner                      | dl                                                    | 50                    |
| 1269 | Valnød, uden skal (2/2)                                                 | Nødder, frø og kerner                      | dl                                                    | 40                    |
| 1270 | Valnødder, hakkede, 1 spsk.                                             | Nødder, frø og kerner                      | dl                                                    | 50                    |
| 1271 | Flagesalt                                                               | Salt                                       | dl                                                    | 60                    |
| 1272 | Havsalt                                                                 | Salt                                       | dl                                                    | 95                    |
| 1273 | Mineralsalt                                                             | Salt                                       | dl                                                    | 125                   |
| 1274 | Salt, fint                                                              | Salt                                       | dl                                                    | 125                   |
| 1275 | Salt, groft                                                             | Salt                                       | dl                                                    | 95                    |
| 1276 | Flagesalt                                                               | Salt                                       | spsk                                                  | 9                     |
| 1277 | Havsalt                                                                 | Salt                                       | spsk                                                  | 14                    |
| 1278 | Mineralsalt                                                             | Salt                                       | spsk                                                  | 19                    |
| 1279 | Salt, fint                                                              | Salt                                       | spsk                                                  | 19                    |
| 1280 | Salt, groft                                                             | Salt                                       | spsk                                                  | 14                    |
| 1281 | Flagesalt                                                               | Salt                                       | tsk                                                   | 3                     |
| 1282 | Havsalt                                                                 | Salt                                       | tsk                                                   | 5                     |
| 1283 | Mineralsalt                                                             | Salt                                       | tsk                                                   | 6                     |
| 1284 | Salt, fint                                                              | Salt                                       | tsk                                                   | 6                     |
| 1285 | Salt, groft                                                             | Salt                                       | tsk                                                   | 5                     |
| 1286 | Salt, groft                                                             | Salt                                       | g/andre enheder                                       | 0.5                   |
| 1287 | Druesukker (glucose)                                                    | Sukker, honning, sirup                     | dl                                                    | 60                    |
| 1288 | Farin                                                                   | Sukker, honning, sirup                     | dl                                                    | 75                    |
| 1289 | Flormelis                                                               | Sukker, honning, sirup                     | dl                                                    | 60                    |
| 1290 | Fruktose                                                                | Sukker, honning, sirup                     | dl                                                    | 75                    |
| 1291 | Honning                                                                 | Sukker, honning, sirup                     | dl                                                    | 140                   |
| 1292 | Muscovado sukker                                                        | Sukker, honning, sirup                     | dl                                                    | 80                    |
| 1293 | Perlesukker                                                             | Sukker, honning, sirup                     | dl                                                    | 80                    |
| 1294 | Rørsukker (demerarasukker)                                              | Sukker, honning, sirup                     | dl                                                    | 90                    |
| 1295 | Sirup                                                                   | Sukker, honning, sirup                     | dl                                                    | 140                   |
| 1296 | Sukker, strøsukker                                                      | Sukker, honning, sirup                     | dl                                                    | 90                    |
| 1297 | Vaniljesukker                                                           | Sukker, honning, sirup                     | dl                                                    | 55                    |
| 1298 | Druesukker (glucose)                                                    | Sukker, honning, sirup                     | spsk                                                  | 9                     |
| 1299 | Farin                                                                   | Sukker, honning, sirup                     | spsk                                                  | 13                    |
| 1300 | Flormelis                                                               | Sukker, honning, sirup                     | spsk                                                  | 10                    |
| 1301 | Honning                                                                 | Sukker, honning, sirup                     | spsk                                                  | 20                    |
| 1302 | Muscovado sukker                                                        | Sukker, honning, sirup                     | spsk                                                  | 12                    |
| 1303 | Perlesukker                                                             | Sukker, honning, sirup                     | spsk                                                  | 12                    |
| 1304 | Rørsukker (demerarasukker)                                              | Sukker, honning, sirup                     | spsk                                                  | 15                    |
| 1305 | Sirup                                                                   | Sukker, honning, sirup                     | spsk                                                  | 20                    |
| 1306 | Sukker, strøsukker                                                      | Sukker, honning, sirup                     | spsk                                                  | 14                    |
| 1307 | Vaniljesukker                                                           | Sukker, honning, sirup                     | spsk                                                  | 8                     |
| 1308 | Druesukker (glucose)                                                    | Sukker, honning, sirup                     | tsk                                                   | 3                     |
| 1309 | Farin                                                                   | Sukker, honning, sirup                     | tsk                                                   | 4                     |
| 1310 | Flormelis                                                               | Sukker, honning, sirup                     | tsk                                                   | 3                     |
| 1311 | Fruktose                                                                | Sukker, honning, sirup                     | tsk                                                   | 4                     |
| 1312 | Honning                                                                 | Sukker, honning, sirup                     | tsk                                                   | 7                     |
| 1313 | Muscovado sukker                                                        | Sukker, honning, sirup                     | tsk                                                   | 4                     |
| 1314 | Perlesukker                                                             | Sukker, honning, sirup                     | tsk                                                   | 4                     |
| 1315 | Rørsukker (demerarasukker)                                              | Sukker, honning, sirup                     | tsk                                                   | 5                     |
| 1316 | Sirup                                                                   | Sukker, honning, sirup                     | tsk                                                   | 7                     |
| 1317 | Sukker, strøsukker                                                      | Sukker, honning, sirup                     | tsk                                                   | 5                     |
| 1318 | Vaniljesukker                                                           | Sukker, honning, sirup                     | tsk                                                   | 3                     |
| 1319 | Rørsukker (demerarasukker), portionspose                                | Sukker, honning, sirup                     | g/andre enheder                                       | 6                     |
| 1320 | Rørsukker (demerarasukker), stick                                       | Sukker, honning, sirup                     | g/andre enheder                                       | 5                     |
| 1321 | Sukker, styk                                                            | Sukker, honning, sirup                     | g/andre enheder                                       | 3                     |
| 1322 | Sukker, strøsukker, portionspose                                        | Sukker, honning, sirup                     | g/andre enheder                                       | 6                     |
| 1323 | Sukker, strøsukker, stick                                               | Sukker, honning, sirup                     | g/andre enheder                                       | 5                     |
| 1324 | Pommes frites                                                           | Tilbehør til                               | ketchup, g                                            | 45                    |
| 1325 | Pølse                                                                   | Tilbehør til                               | ketchup, g                                            | 35                    |
| 1326 | Pølse i svøb                                                            | Tilbehør til                               | ketchup, g                                            | 60                    |
| 1327 | Pølsemix                                                                | Tilbehør til                               | ketchup, g                                            | 65                    |
| 1328 | Pølse                                                                   | Tilbehør til                               | sennep, g                                             | 35                    |
| 1329 | Pølse i svøb                                                            | Tilbehør til                               | sennep, g                                             | 45                    |
| 1330 | Fiskefilet                                                              | Tilbehør til                               | remoulade, g                                          | 65                    |
| 1331 | Pommes frites                                                           | Tilbehør til                               | remoulade, g                                          | 55                    |
| 1332 | Pølse                                                                   | Tilbehør til                               | remoulade, g                                          | 50                    |
| 1333 | Pølse i svøb                                                            | Tilbehør til                               | remoulade, g                                          | 65                    |
| 1334 | Pølsemix                                                                | Tilbehør til                               | remoulade, g                                          | 55                    |
| 1335 | Kebabmix                                                                | Tilbehør til                               | dressing/sauce, g                                     | 70                    |
| 1336 | Nuggets                                                                 | Tilbehør til                               | dressing/sauce, g                                     | 45                    |
| 1337 | Pommes frites                                                           | Tilbehør til                               | dressing/sauce, g                                     | 35                    |
| 1338 | Pølse                                                                   | Tilbehør til                               | dressing/sauce, g                                     | 60                    |
| 1339 | Chips                                                                   | Chips mm.                                  | g/stk.                                                | 1.5                   |
| 1340 | Chips - majs (tortilla)                                                 | Chips mm.                                  | g/stk.                                                | 2                     |
| 1341 | Chips – ostepops                                                        | Chips mm.                                  | g/stk.                                                | 1.5                   |
| 1342 | Franske kartofler                                                       | Chips mm.                                  | g/stk.                                                | 1.5                   |
| 1343 | Pop corn                                                                | Chips mm.                                  | g/stk.                                                | 0.1                   |
| 1344 | Saltstænger                                                             | Chips mm.                                  | g/stk.                                                | 0.5                   |
| 1345 | Tacoskal                                                                | Chips mm.                                  | g/stk.                                                | 10                    |
| 1346 | Chips                                                                   | Chips mm.                                  | standard pose/rør, g                                  | 175                   |
| 1347 | Chips – ostepops                                                        | Chips mm.                                  | standard pose/rør, g                                  | 140                   |
| 1348 | Franske kartofler                                                       | Chips mm.                                  | standard pose/rør, g                                  | 220                   |
| 1349 | Flæskesvær                                                              | Chips mm.                                  | standard pose/rør, g                                  | 75                    |
| 1350 | Pop corn                                                                | Chips mm.                                  | standard pose/rør, g                                  | 100                   |
| 1351 | Saltstænger                                                             | Chips mm.                                  | standard pose/rør, g                                  | 250                   |
| 1352 | Chips                                                                   | Chips mm.                                  | dl                                                    | 9                     |
| 1353 | Chips – ostepops                                                        | Chips mm.                                  | dl                                                    | 10                    |
| 1354 | Franske kartofler                                                       | Chips mm.                                  | dl                                                    | 12                    |
| 1355 | Flæskesvær                                                              | Chips mm.                                  | dl                                                    | 17                    |
| 1356 | Pop corn                                                                | Chips mm.                                  | dl                                                    | 3                     |
| 1357 | Chips                                                                   | Chips mm.                                  | håndfuld, g                                           | 15                    |
| 1358 | Chips - majs (tortilla)                                                 | Chips mm.                                  | håndfuld, g                                           | 15                    |
| 1359 | Chips – ostepops                                                        | Chips mm.                                  | håndfuld, g                                           | 15                    |
| 1360 | Franske kartofler                                                       | Chips mm.                                  | håndfuld, g                                           | 15                    |
| 1361 | Pop corn                                                                | Chips mm.                                  | håndfuld, g                                           | 5                     |
| 1362 | Saltstænger                                                             | Chips mm.                                  | håndfuld, g                                           | 10                    |
| 1363 | Peanuts                                                                 | Saltede nødder                             | g/stk.                                                | 0.7                   |
| 1364 | Pistacienødder m/skal, saltede                                          | Saltede nødder                             | g/stk.                                                | 1.5                   |
| 1365 | Cashewnødder, saltede                                                   | Saltede nødder                             | standard pose/rør, g                                  | 120                   |
